paper,author,affiliation,affiliation_type
A Standardized Machine-readable Dataset Documentation Format for Responsible AI,Joaquin Vanschoren,TUE & OpenML,Non-for-profit
A Standardized Machine-readable Dataset Documentation Format for Responsible AI,Steffen Vogler,Bayer,Industry
A Standardized Machine-readable Dataset Documentation Format for Responsible AI,Sujata Goswami,Oak Ridge National Laboratory,Government
A Standardized Machine-readable Dataset Documentation Format for Responsible AI,Yuhan Rao,North Carolina State University,Academia
A Standardized Machine-readable Dataset Documentation Format for Responsible AI,Tim Santos,Graphcore,Industry
A Standardized Machine-readable Dataset Documentation Format for Responsible AI,Luis Oala,Dotphoton,Industry
A Standardized Machine-readable Dataset Documentation Format for Responsible AI,Michalis Karamousadakis,Plaixus Ltd,Industry
A Standardized Machine-readable Dataset Documentation Format for Responsible AI,Manil Maskey,NASA,Government
A Standardized Machine-readable Dataset Documentation Format for Responsible AI,Pierre Marcenac,Google,Industry
A Standardized Machine-readable Dataset Documentation Format for Responsible AI,Costanza Conforti,Google,Industry
A Standardized Machine-readable Dataset Documentation Format for Responsible AI,Michael Kuchnik,Meta,Industry
A Standardized Machine-readable Dataset Documentation Format for Responsible AI,Lora Aroyo,Google,Industry
A Standardized Machine-readable Dataset Documentation Format for Responsible AI,Omar Benjelloun,Google,Industry
A Standardized Machine-readable Dataset Documentation Format for Responsible AI,Elena Simperl,King's College London & Open Data Institute,Academia
Data-Envelopes for Cultural Heritage: Going beyond Datasheets,Mrinalini Luthra,Huygens Insitute,Academia
Data-Envelopes for Cultural Heritage: Going beyond Datasheets,Maria Eskevich,Huygens Insitute,Academia
Datasheets for AI and medical datasets (DAIMS): a data validation and documentation framework before machine learning analysis in medical research,Ramtin Zargari Marandi,"Centre of Excellence for Health, Immunity and Infections (CHIP), Rigshospitalet, Copenhagen University Hospital",Academia
Datasheets for AI and medical datasets (DAIMS): a data validation and documentation framework before machine learning analysis in medical research,Anne Svane Frahm,"Centre of Excellence for Health, Immunity and Infections (CHIP), Rigshospitalet, Copenhagen University Hospital",Academia
Datasheets for AI and medical datasets (DAIMS): a data validation and documentation framework before machine learning analysis in medical research,Maja Milojevic,"Centre of Excellence for Health, Immunity and Infections (CHIP), Rigshospitalet, Copenhagen University Hospital",Academia
Language Dataset Documentation Design: Learning from Deaf and Indigenous Communities,Angelina McMillan-Major,University of Washington,Academia
A Guide for Creating and Documenting Language Datasets with Data Statements,Angelina McMillan-Major,University of Washington,Academia
A Guide for Creating and Documenting Language Datasets with Data Statements,Emily M. Bender,University of Washington,Academia
"Reusable Templates and Guides For Documenting Datasets and Models
for Natural Language Processing and Generation",Angelina McMillan-Major,University of Washington & Hugging Face,Academia
"Reusable Templates and Guides For Documenting Datasets and Models
for Natural Language Processing and Generation",Salomey Osei,KNUST & Masakhane,Academia
"Reusable Templates and Guides For Documenting Datasets and Models
for Natural Language Processing and Generation",Juan Diego Rodriguez,UT Austin,Academia
"Reusable Templates and Guides For Documenting Datasets and Models
for Natural Language Processing and Generation",Pawan Sasanka Ammanamanchi,IIIT Hyderabad,Academia
"Reusable Templates and Guides For Documenting Datasets and Models
for Natural Language Processing and Generation",Sebastian Gehrmann,Google Research,Industry
"Reusable Templates and Guides For Documenting Datasets and Models
for Natural Language Processing and Generation",Yacine Jernite,Hugging Face,Industry
Data Statements: From Technical Concept to Community Practice,ANGELINA MCMILLAN-MAJOR,University of Washington,Academia
Data Statements: From Technical Concept to Community Practice,BATYA FRIEDMAN,University of Washington,Academia
Data Statements: From Technical Concept to Community Practice,EMILY M. BENDER,University of Washington,Academia
"On Responsible Machine Learning Datasets with Fairness, Privacy, and Regulatory Norms",Surbhi Mittal,IIT Jodhpur,Academia
"On Responsible Machine Learning Datasets with Fairness, Privacy, and Regulatory Norms",Kartik Thakral,IIT Jodhpur,Academia
"On Responsible Machine Learning Datasets with Fairness, Privacy, and Regulatory Norms",Richa Singh,IIT Jodhpur,Academia
"On Responsible Machine Learning Datasets with Fairness, Privacy, and Regulatory Norms",Mayank Vatsa,IIT Jodhpur,Academia
"On Responsible Machine Learning Datasets with Fairness, Privacy, and Regulatory Norms",Tamar Glaser,Meta,Industry
"On Responsible Machine Learning Datasets with Fairness, Privacy, and Regulatory Norms",Cristian Canton Ferrer,Meta,Industry
"On Responsible Machine Learning Datasets with Fairness, Privacy, and Regulatory Norms",Tal Hassner,Meta,Industry
Ontology-supported AI Model and Dataset Management,Jan Novacek,FZI Research Center for Information Technology,Academia
Ontology-supported AI Model and Dataset Management,Ali Ahari,FZI Research Center for Information Technology & University of Tübingen,Academia
Ontology-supported AI Model and Dataset Management,Tobias Müller,FZI Research Center for Information Technology & University of Tübingen,Academia
Ontology-supported AI Model and Dataset Management,Sebastian Reiter,FZI Research Center for Information Technology,Academia
Ontology-supported AI Model and Dataset Management,Alexander Viehl,FZI Research Center for Information Technology,Academia
Ontology-supported AI Model and Dataset Management,Oliver Bringmann,FZI Research Center for Information Technology & University of Tübingen,Academia
Clear and Precise Specification of Ecological Data Management Processes and Dataset Provenance,Leon J. Osterweil,"Department of Computer Science, University of Massachusetts",Academia
Clear and Precise Specification of Ecological Data Management Processes and Dataset Provenance,Lori A. Clarke,"Department of Computer Science, University of Massachusetts",Academia
Clear and Precise Specification of Ecological Data Management Processes and Dataset Provenance,Aaron M. Ellison,"Harvard Forest, Harvard University",Academia
Clear and Precise Specification of Ecological Data Management Processes and Dataset Provenance,Emery Boose,"Harvard Forest, Harvard University",Academia
Clear and Precise Specification of Ecological Data Management Processes and Dataset Provenance,Rodion Podorozhny,Texas State University,Academia
Clear and Precise Specification of Ecological Data Management Processes and Dataset Provenance,Alexander Wise,"Department of Computer Science, University of Massachusetts",Academia
Augmented Datasheets for Speech Datasets and Ethical Decision-Making,Orestis Papakyriakopoulos,Sony AI,Industry
Augmented Datasheets for Speech Datasets and Ethical Decision-Making,Rebecca Bourke,Sony AI,Industry
Augmented Datasheets for Speech Datasets and Ethical Decision-Making,Anna Seo Gyeong Choi,Cornell University,Academia
Augmented Datasheets for Speech Datasets and Ethical Decision-Making,William Thong,Sony AI,Industry
Augmented Datasheets for Speech Datasets and Ethical Decision-Making,Alice Xiang,Sony AI,Industry
Augmented Datasheets for Speech Datasets and Ethical Decision-Making,Jerone Andrews,Sony AI,Industry
Augmented Datasheets for Speech Datasets and Ethical Decision-Making,Dora Zhao,Sony AI,Industry
Augmented Datasheets for Speech Datasets and Ethical Decision-Making,Allison Koenecke,Cornell University,Academia
dataMaid: Your Assistant for Documenting Supervised Data Quality Screening in R,Anne Helby Petersen,University of Copenhagen,Academia
dataMaid: Your Assistant for Documenting Supervised Data Quality Screening in R,Claus Thorn Ekstrøm,University of Copenhagen,Academia
Ensuring Dataset Quality for Machine Learning Certification,S. Picard,Safran and IRT Saint-Exupéry,Academia
Ensuring Dataset Quality for Machine Learning Certification,C. Chapdelaine,Safran and IRT Saint-Exupéry,Academia
Ensuring Dataset Quality for Machine Learning Certification,B. Lefevre,Thales,Industry
Ensuring Dataset Quality for Machine Learning Certification,C. Cappi,SNCF,Government
Ensuring Dataset Quality for Machine Learning Certification,L. Gardes,SNCF,Government
Ensuring Dataset Quality for Machine Learning Certification,E. Jenn,Thales AVS and IRT Saint-Exupéry,Academia
Ensuring Dataset Quality for Machine Learning Certification,T. Soumarmon,Continental and IRT Saint-Exupéry,Academia
A Field Study of a Human-Centered Process for Increasing AI Transparency,DAVID PIORKOWSKI,IBM Research AI,Industry
A Field Study of a Human-Centered Process for Increasing AI Transparency,JOHN RICHARDS,IBM Research AI,Industry
A Field Study of a Human-Centered Process for Increasing AI Transparency,MICHAEL HIND,IBM Research AI,Industry
Data Cards: Purposeful and Transparent Dataset Documentation for Responsible AI,Mahima Pushkarna,Google,Industry
Data Cards: Purposeful and Transparent Dataset Documentation for Responsible AI,Andrew Zaldivar,Google,Industry
Data Cards: Purposeful and Transparent Dataset Documentation for Responsible AI,Oddur Kjartansson,Google,Industry
"Right the docs: Characterising voice dataset documentation practices used
in machine learning",Kathy Reid,"Australian National University
Canberra",Academia
"Right the docs: Characterising voice dataset documentation practices used
in machine learning",Elizabeth T. Williams,"Australian National University
Canberra",Academia
A Methodology for Creating AI FactSheets,John Richards,IBM,Industry
A Methodology for Creating AI FactSheets,David Piorkowski,IBM,Industry
A Methodology for Creating AI FactSheets,Michael Hind,IBM,Industry
A Methodology for Creating AI FactSheets,Stephanie Houde,IBM,Industry
A Methodology for Creating AI FactSheets,Aleksandra Mojsilović,IBM,Industry
Open Datasheets: Machine-readable Documentation for Open Datasets and Responsible AI Assessments,Anthony Cintron Roman,"Microsoft, AI For Good Research Lab",Industry
Open Datasheets: Machine-readable Documentation for Open Datasets and Responsible AI Assessments,Jennifer Wortman Vaughan,"Microsoft, Research",Industry
Open Datasheets: Machine-readable Documentation for Open Datasets and Responsible AI Assessments,Valerie See,"Microsoft, Office of Responsible AI",Industry
Open Datasheets: Machine-readable Documentation for Open Datasets and Responsible AI Assessments,Steph Ballard,"Microsoft, Open Innovation",Industry
Open Datasheets: Machine-readable Documentation for Open Datasets and Responsible AI Assessments,Kevin Xu,GitHub,Industry
Open Datasheets: Machine-readable Documentation for Open Datasets and Responsible AI Assessments,Jehu Torres,"Microsoft, AI For Good Research Lab",Industry
Open Datasheets: Machine-readable Documentation for Open Datasets and Responsible AI Assessments,Caleb Robinson,"Microsoft, AI For Good Research Lab",Industry
Open Datasheets: Machine-readable Documentation for Open Datasets and Responsible AI Assessments,Juan M. Lavista Ferres,"Microsoft, AI For Good Research Lab",Industry
Completeness of Datasets Documentation on ML/AI Repositories: An Empirical Investigation,Marco Rondina,Politecnico di Torino,Academia
Completeness of Datasets Documentation on ML/AI Repositories: An Empirical Investigation,Antonio Vetrò,Politecnico di Torino,Academia
Completeness of Datasets Documentation on ML/AI Repositories: An Empirical Investigation,Juan Carlos De Martin,Politecnico di Torino,Academia
Healthsheet: Development of a Transparency Artifact for Health Datasets,NEGAR ROSTAMZADEH,Google Research,Industry
Healthsheet: Development of a Transparency Artifact for Health Datasets,DIANA MINCU,Google Research,Industry
Healthsheet: Development of a Transparency Artifact for Health Datasets,SUBHRAJIT ROY,Google Research,Industry
Healthsheet: Development of a Transparency Artifact for Health Datasets,ANDREW SMART,Google Research,Industry
Healthsheet: Development of a Transparency Artifact for Health Datasets,LAUREN WILCOX,Google Research,Industry
Healthsheet: Development of a Transparency Artifact for Health Datasets,MAHIMA PUSHKARNA,Google Research,Industry
Healthsheet: Development of a Transparency Artifact for Health Datasets,JESSICA SCHROUFF,Google Research,Industry
Healthsheet: Development of a Transparency Artifact for Health Datasets,RAZVAN AMIRONESEI,Google Research,Industry
Healthsheet: Development of a Transparency Artifact for Health Datasets,NYALLENG MOOROSI,Google Research,Industry
Healthsheet: Development of a Transparency Artifact for Health Datasets,KATHERINE HELLER,Google Research,Industry
"Can Machines Help Us Answering Question 16 in Datasheets, and In Turn Reflecting on Inappropriate Content?",PATRICK SCHRAMOWSKI,"Technical University Darmstadt, Hessian Center for AI",Academia
"Can Machines Help Us Answering Question 16 in Datasheets, and In Turn Reflecting on Inappropriate Content?",CHRISTOPHER TAUCHMANN,"Technical University Darmstadt, Hessian Center for AI",Academia
"Can Machines Help Us Answering Question 16 in Datasheets, and In Turn Reflecting on Inappropriate Content?",KRISTIAN KERSTING,"Technical University Darmstadt, Centre for Cognitive Science Darmstadt, Hessian Center for AI",Academia
Datasheets for Healthcare AI: A Framework for Transparency and Bias Mitigation,Marjia Siddik,"ADAPT Centre, School of Computing, Dublin",Academia
Datasheets for Healthcare AI: A Framework for Transparency and Bias Mitigation,Harshvardhan J. Pandit,"ADAPT Centre, School of Computing, Dublin",Academia
Artsheets for Art Datasets,Ramya Srinivasan,Fujitsu Research of America,Industry
Artsheets for Art Datasets,Emily Denton,Google Research,Industry
Artsheets for Art Datasets,Jordan Famularo,"University of California, Berkeley",Academia
Artsheets for Art Datasets,Negar Rostamzadeh,Google Research,Industry
Artsheets for Art Datasets,Fernando Diaz,Google Research,Industry
Artsheets for Art Datasets,Beth Coleman,University of Toronto,Academia
MithraLabel: Flexible Dataset Nutritional Labels for Responsible Data Science,Chenkai Sun,University of Michigan,Academia
MithraLabel: Flexible Dataset Nutritional Labels for Responsible Data Science,Abolfazl Asudeh,University of Illinois at Chicago,Academia
MithraLabel: Flexible Dataset Nutritional Labels for Responsible Data Science,H. V. Jagadish,University of Michigan,Academia
MithraLabel: Flexible Dataset Nutritional Labels for Responsible Data Science,Bill Howe,University of Washington,Academia
MithraLabel: Flexible Dataset Nutritional Labels for Responsible Data Science,Julia Stoyanovich,New York University,Academia
Distinguishing Provenance Equivalence of Earth Science Data,C. Tilmes,NASA Goddard Space Flight Center,Government
Distinguishing Provenance Equivalence of Earth Science Data,Ye. Yesha,"University of Maryland, Baltimore County",Academia
Distinguishing Provenance Equivalence of Earth Science Data,M. Halem,"University of Maryland, Baltimore County",Academia
NAVIGATING DATASET DOCUMENTATIONS IN AI: A LARGE-SCALE ANALYSIS OF DATASET CARDS ON HUGGING FACE,Xinyu Yang,Cornell University,Academia
NAVIGATING DATASET DOCUMENTATIONS IN AI: A LARGE-SCALE ANALYSIS OF DATASET CARDS ON HUGGING FACE,Weixin Liang,Stanford University,Academia
NAVIGATING DATASET DOCUMENTATIONS IN AI: A LARGE-SCALE ANALYSIS OF DATASET CARDS ON HUGGING FACE,James Zou,Stanford University,Academia
Network Report: A Structured Description for Network Datasets,Xinyi Zheng,Carnegie Mellon University,Academia
Network Report: A Structured Description for Network Datasets,Ryan A. Rossi,Adobe Research,Industry
Network Report: A Structured Description for Network Datasets,Nesreen Ahmed,Intel Labs,Industry
Network Report: A Structured Description for Network Datasets,Dominik Moritz,Carnegie Mellon University,Academia
