title,authors,year,prior_user_research,"If study was used, type of study used",,audiences,stakeholders_mentioned,stakeholders_involved,"What is the precise context of use of the tool as presented by authors
",tool_evaluation,degree_automation,tool_integration,tool_description
Prov-Dominoes: An approach for knowledge discovery from provenance data,"Alencar, Victor; Kohwalter, Troy; Braganholo, Vanessa; da Silva, José Ricardo; Murta, Leonardo",2024,No,,,dataset creators,No,No,"""Prov-Dominoes promotes the provenance relationships among entities, activities, and agents into first-class elements represented by domino tiles. It allows users to combine and compose such domino tiles visually and interactively, using GPU.""",No,Hybrid,Yes,app
Tackling algorithmic bias and promoting transparency in health datasets: the STANDING Together consensus recommendations,"Alderman, Joseph E; Palmer, Joanne; Laws, Elinor; McCradden, Melissa D; Ordish, Johan; Ghassemi, Marzyeh; Pfohl, Stephen R; Rostamzadeh, Negar; Cole-Lewis, Heather; Glocker, Ben; Calvert, Melanie; Pollard, Tom J; Gill, Jaspret; Gath, Jacqui; Adebajo, Adewale; Beng, Jude; Leung, Cassandra H; Kuku, Stephanie; Farmer, Lesley-Anne; Matin, Rubeta N; Mateen, Bilal A; McKay, Francis; Heller, Katherine; Karthikesalingam, Alan; Treanor, Darren; Mackintosh, Maxine; Oakden-Rayner, Lauren; Pearson, Russell; Manrai, Arjun K; Myles, Puja; Kumuthini, Judit; Kapacee, Zoher; Sebire, Neil J; Nazer, Lama H; Seah, Jarrel; Akbari, Ashley; Berman, Lew; Gichoya, Judy W; Righetto, Lorenzo; Samuel, Diana; Wasswa, William; Charalambides, Maria; Arora, Anmol; Pujari, Sameer; Summers, Charlotte; Sapey, Elizabeth; Wilkinson, Sharon; Thakker, Vishal; Denniston, Alastair; Liu, Xiaoxuan",2025,Yes,"""mixed-methods research programme"" including literature review and delphi project (consultation with panel of experts)",,"dataset creators, data experts. dataset researchers",Yes,Yes,"""These recommendations have a specific focus on datasets used for the development, evaluation, and monitoring of AI health technologies, and respond to increasing international awareness of algorithmic bias and the wider harms of under-representative, biased datasets""",No,Manual,No,questionnaire
Toward FAIR Semantic Publishing of Research Dataset Metadata in the Open Research Knowledge Graph,"Ahmad, Raia Abu; D'Souza, Jennifer; Zloch, Matthäus; Otto, Wolfgang; Rehm, Georg; Oelen, Allard; Dietze, Stefan; Auer, Sören",2024,No,,,dataset researchers,No,No,Data researchers will type all documents when uploading datasets to repositories,No,Hybrid,Yes,markup format
Navigating Dataset Documentations in AI: A Large-Scale Analysis of Dataset Cards on Hugging Face,"Yang, Xinyu; Liang, Weixin; Zou, James",2024,No,,,,No,No,,,,,
The State of Data Curation at NeurIPS: An Assessment of Dataset Development Practices in the Datasets and Benchmarks Track,"Bhardwaj, Eshta; Gujral, Harshit; Wu, Siyi; Zogheib, Ciara; Maharaj, Tegan; Becker, Christoph",2025,No,,,data curators,Yes,No,,,,,
Data Readiness Report,"Afzal, Shazia; Rajmohan, C; Kesarwani, Manish; Mehta, Sameep; Patel, Hima",2021,No,,,"dataset practitioners, dataset creators",No,No,"""documentation of operations conducted during the data prepa- ration, cleaning, and quality analysis phases in a typical AI life cycle.""",No,Manual,No,questionnaire
MithraLabel: Flexible Dataset Nutritional Labels for Responsible Data Science,"Sun, Chenkai; Asudeh, Abolfazl; Jagadish, H. V.; Howe, Bill; Stoyanovich, Julia",2019,No,,,dataset creators,No,No,"""Our system is implemented as a web application. Clients use the Front-end to identify a dataset, a task, and the label details. The request will then be passed to the back-end where the nutritional label is constructed.""",No,Automated,Yes,app
How to Automatically Document Data With the codebook Package to Facilitate Data Reuse,"Arslan, Ruben C.",2019,No,,,dataset creators,No,No,"""The codebook package gives psychological scientists a tool they can use in the short term, and that potentially even saves them time, in order to create a resource that is useful for everyone in the long term. It automates commonly performed data-summary steps, such as gen- erating descriptive statistics and plots""",No,Automated,No,app
The ABC of Data: A Classifying Framework for Data Readiness,"Castelijns, Laurens A.; Maas, Yuri; Vanschoren, Joaquin",2020,No,,,dataset creators,No,No,Automate and document the data cleaning process,No,Automated,Yes,framework
Croissant: A Metadata Format for ML-Ready Datasets,"Akhtar, Mubashara; Benjelloun, Omar; Conforti, Costanza; Gijsbers, Pieter; Giner-Miguelez, Joan; Jain, Nitisha; Kuchnik, Michael; Lhoest, Quentin; Marcenac, Pierre; Maskey, Manil; Mattson, Peter; Oala, Luis; Ruyssen, Pierre; Shinde, Rajat; Simperl, Elena; Thomas, Goeffry; Tykhonov, Slava; Vanschoren, Joaquin; van der Velde, Jos; Vogler, Steffen; Wu, Carole-Jean",2024,No,,,dataset practitioners,No,No,"Describe most types of data commonly used in ML workflows, such as images, text, or audio",No,Automated,Yes,markup format
